stop,direction,time,average,sd,dist,param
Heidelberglaan,1,1095,0.05555555555555555,0.19245008972987526,gamma,(0.2576838472014048  -1.0415744830788756e-30  0.5716238258528232)
Heidelberglaan,1,1110,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
Heidelberglaan,1,1125,0.05,0.1690308509457033,gamma,(0.19339480835751038  -9.400809682545365e-31  0.5820764592352452)
Heidelberglaan,1,1140,0.1111111111111111,0.41702882811414954,gamma,(0.30755260620033453  -1.0035251047343546e-29  1.130935038281598)
Heidelberglaan,1,1155,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
Heidelberglaan,1,1170,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
Heidelberglaan,1,1185,0.05263157894736842,0.19611613513818404,gamma,(0.26757952426212767  -4.6224480116085815e-31  0.5716814201146585)
Heidelberglaan,1,1200,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
Heidelberglaan,1,1215,0.058823529411764705,0.21821789023599236,gamma,(0.34155307674263347  -2.9992751326928333e-30  0.5603384866625886)
Heidelberglaan,1,1230,0.058823529411764705,0.20851441405707477,gamma,(0.30755260620033453  -5.017625523671773e-30  0.565467519140799)
Heidelberglaan,1,1245,0.1875,0.34435022157509093,gamma,(0.2113914221141845  -6.647799228365092e-29  0.43412295336012796)
Heidelberglaan,1,1260,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
Heidelberglaan,1,1275,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
Galgenwaard,0,375,0.75,1.4095538674570611,pareto,(2.1091535442048572  -0.47226723456161035  0.4722672325032711)
Galgenwaard,0,390,1.5555555555555556,1.020262550775348,norm,(1.4736842105263157  0.9930506454796425)
Galgenwaard,0,405,1.35,0.8976815403791096,gamma,(0.1468406151572399  -2.4983059260168397e-28  0.43824004574651654)
Galgenwaard,0,420,1.25,1.2085223687584246,lognorm,(4.923067914433927  -1.2868251970977789e-15  4.3566065205200454e-05)
